what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952640539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952642997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952692353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952697076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952699784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1407952699793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952703381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952706361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1407952706372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952714043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952719388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1407952719399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952724487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952739629
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407952748481
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1407952750158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407952751231
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1407952753183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952776492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952779800
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1407952782745
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1407952783321
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1407952783624
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1407952784415
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1407952786081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952789811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952813196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952819894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952822363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1407952822373
opened,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1407952824277
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1407952824329
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1407952858142
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1407952858144
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1407952858145
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1407952858160
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.4.v201201131116,"org.eclipse.datatools.connectivity.sqm.core",1407952858296
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1407952858308
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1407952858413
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1407952858469
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1407952860599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952862805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952873664
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407952875463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952876297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407952877978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952953681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1407952953694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407952959653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407953003018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407953007092
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1407953011106
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1407953011138
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1407953011144
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1407953011149
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1407953011158
started,bundle,com.objectaid.uml.cls.java,1.1.4,"com.objectaid.uml.cls.java",1407953011161
started,bundle,com.objectaid.uml.java,1.1.4,"com.objectaid.uml.java",1407953011176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407953011351
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1407953011354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1407953011355
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1407953013339
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1407953013346
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1407953013783
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1407953013972
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1407953014223
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1407953014377
