what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408189163903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189171276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189208204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1408189210179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189213114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189225245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1408189225263
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408189226641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189231682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189244068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189249998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189250110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189250138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189251787
executed,command,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.searchTargetRepositories",1408189251795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189252489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189262982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408189265757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408189268356
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408189276574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408189283136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189288850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189329545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408189334801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189350264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189456635
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408189502665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1408189511925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408189513631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408189526736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1408189528021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408189529210
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1408189535328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408189535401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408189541235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408190028776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408190070925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408190071754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408190694268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408190724021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408191896745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408191905840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408191992001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408191999215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192000079
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1408192000098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192001571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192002392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192078614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192080317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192156128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192159273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192165807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192168361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192172012
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192519613
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192519818
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1408192535897
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1408192535901
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.ui.dse",1408192535903
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1408192535957
started,bundle,org.eclipse.datatools.connectivity.db.generic,1.0.1.v201107221459,"org.eclipse.datatools.connectivity.db.generic",1408192536699
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.102.v201107221459,"org.eclipse.datatools.connectivity.apache.derby",1408192536850
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201107221504,"org.eclipse.datatools.enablement.msft.sqlserver",1408192536853
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041100,"org.eclipse.datatools.enablement.sqlite",1408192536857
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v201107221507,"org.eclipse.datatools.enablement.sybase.asa",1408192536885
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.2.v201201131122,"org.eclipse.datatools.enablement.sybase.ase",1408192536911
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.4.v201201131116,"org.eclipse.datatools.connectivity.sqm.core",1408192536996
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.1.v20110926045,"org.eclipse.datatools.connectivity.sqm.core.ui",1408192537007
started,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.100.v201107221459,"org.eclipse.datatools.connectivity.sqm.server.ui",1408192537028
started,bundle,org.eclipse.datatools.enablement.ingres,1.0.0.v200906111150,"org.eclipse.datatools.enablement.ingres",1408192537058
started,bundle,org.eclipse.datatools.enablement.postgresql,1.1.0.v201110070445,"org.eclipse.datatools.enablement.postgresql",1408192537059
started,bundle,org.eclipse.datatools.enablement.sybase,1.0.1.v201107221507,"org.eclipse.datatools.enablement.sybase",1408192537060
started,bundle,org.eclipse.datatools.modelbase.sql,1.0.5.v201110151330,"org.eclipse.datatools.modelbase.sql",1408192537111
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1408192537352
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1408192537404
started,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.v201107221459,"org.eclipse.datatools.connectivity.db.generic.ui",1408192539139
started,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1408192539319
started,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1408192539359
started,bundle,org.eclipse.datatools.enablement.ibm.ui,1.0.0.v201107221502,"org.eclipse.datatools.enablement.ibm.ui",1408192539376
started,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.1.v201108130630,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1408192539376
started,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.ui,1.0.2.v201108130630,"org.eclipse.datatools.enablement.ibm.db2.luw.ui",1408192539390
started,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries.ui,1.0.1.v201108130630,"org.eclipse.datatools.enablement.ibm.db2.zseries.ui",1408192539397
started,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.2.v201108130630,"org.eclipse.datatools.enablement.ibm.informix.ui",1408192539421
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.2.v201201131118,"org.eclipse.datatools.enablement.msft.sqlserver.ui",1408192539440
started,bundle,org.eclipse.datatools.enablement.mysql.ui,1.0.0.v201109022331,"org.eclipse.datatools.enablement.mysql.ui",1408192539449
started,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.3.v201201131121,"org.eclipse.datatools.enablement.oracle.ui",1408192539455
started,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1408192539461
started,bundle,org.eclipse.datatools.enablement.sap.maxdb.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sap.maxdb.ui",1408192539465
started,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1408192539507
started,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1408192539511
started,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1408192539514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192539544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192541275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192567413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192573172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192587159
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1408192590593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192601209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192605477
started,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.1.v201201131129,"org.eclipse.datatools.sqltools.editor.core",1408192606028
started,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201107221520,"org.eclipse.datatools.sqltools.sqleditor",1408192606070
started,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1408192606136
started,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.db.generic",1408192606150
started,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.db.derby",1408192606166
started,bundle,org.eclipse.datatools.enablement.sybase.asa.models,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sybase.asa.models",1408192606189
started,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v201010140307,"org.eclipse.datatools.enablement.sybase.models",1408192606249
started,bundle,org.eclipse.datatools.sqltools.result,1.1.2.v201201131129,"org.eclipse.datatools.sqltools.result",1408192606457
started,bundle,org.eclipse.datatools.sqltools.result.ui,1.1.2.v201110010535,"org.eclipse.datatools.sqltools.result.ui",1408192606794
opened,view,org.eclipse.datatools.sqltools.result.ui,1.1.2.v201110010535,"org.eclipse.datatools.sqltools.result.resultView",1408192606921
activated,perspective,org.eclipse.datatools.sqltools.sqleditor,1.0.2.v201107221520,"org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective",1408192606952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1408192606979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1408192606979
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1408192612378
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1408192615171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192619348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192621042
started,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries,1.0.2.v201107221502,"org.eclipse.datatools.enablement.ibm.db2.iseries",1408192621381
started,bundle,org.eclipse.datatools.enablement.ibm.db2.luw,1.0.2.v201107221502,"org.eclipse.datatools.enablement.ibm.db2.luw",1408192621382
started,bundle,org.eclipse.datatools.enablement.ibm.db2.zseries,1.0.2.v201107221502,"org.eclipse.datatools.enablement.ibm.db2.zseries",1408192621382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192621854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192623664
started,bundle,org.eclipse.datatools.enablement.sybase.ase.models,1.0.1.v201010140307,"org.eclipse.datatools.enablement.sybase.ase.models",1408192624149
started,bundle,org.eclipse.datatools.enablement.mysql,1.0.2.v201109022323,"org.eclipse.datatools.enablement.mysql",1408192626549
started,bundle,org.eclipse.datatools.enablement.sap.maxdb,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sap.maxdb",1408192626558
started,bundle,org.eclipse.datatools.modelbase.dbdefinition,1.0.2.v201107221519,"org.eclipse.datatools.modelbase.dbdefinition",1408192626855
started,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1408192626965
started,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.2.v201201131129,"org.eclipse.datatools.sqltools.ddlgen.ui",1408192631789
started,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.tabledataeditor",1408192634630
started,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.ui",1408192634684
started,bundle,org.eclipse.datatools.sqltools.data.core,1.2.1.v201110050500,"org.eclipse.datatools.sqltools.data.core",1408192643108
opened,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1408192643251
activated,editor,org.eclipse.datatools.sqltools.data.ui,1.2.1.v201010270945,"org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor",1408192643271
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192648700
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192653093
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1408192655607
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1408192655722
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408192655951
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408192656003
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1408192679800
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1408192679946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192699269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192701512
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192703193
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192703976
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192704024
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1408192712992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408192713185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408192732639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192735483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192773094
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1408192781427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408192806645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408193348351
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408193350102
