what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410102791932
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410102794471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102797238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102808746
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410102808780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410102814447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410102816226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410102816766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410102820449
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1410102829660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102842131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102873708
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410102874991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410102876083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102879207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102926609
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1410102926632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102932959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102986293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410102987121
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1410102989039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410102989664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410102990707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410102997524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103032035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103034678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103036886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410103037313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410103038230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103039218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103235609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410103237883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1410103241038
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1410103242514
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410103251183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410103255167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410103255866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1410103264308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103266102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103305349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103308778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103352676
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410103352698
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410103353350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410103356129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410103356810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103358245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103367667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410103369713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410103374587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410103375291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103376961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103383227
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410103404858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103433960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103476267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1410103476273
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410103476759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410103481771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103482929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410103486054
