what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410446846531
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410446846555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410446850879
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410446852727
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1410446854699
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410446855927
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410446856359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1410446857226
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1410446858820
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1410446861137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446864096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446882306
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1410446882341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410446883403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446883834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446885201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410446885212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446888309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446888351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446888361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446888418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1410446889259
error,log,,,"Errors occurred during the build.",1410446889268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446889283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410446890635
