what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1410109061437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410109068633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109069876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109081636
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1410109088842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1410109089515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410109090445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109091529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109093196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410109103146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410109103431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109104785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109121525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410109123322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410109124437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1410109124698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410109125569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109126563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109132258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109136330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109184499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410109214765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410110999117
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410111000813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410111018654
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1410111020610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410111021176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1410111021200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410111021491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410111023786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410111027154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1410111029010
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1410111029806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410111036888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410111038729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410111041190
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1410111041278
