what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959445695
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1407959445833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1407959462172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407959467267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959484094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959486365
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1407959486430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959494268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959499268
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1407959499307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1407959502736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959506532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959507395
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1407959508499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959513519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959518570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959524248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959535776
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407959536041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407959536094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959536971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959588158
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1407959595840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959596261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959598328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1407959600128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959603788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959604892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959608159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959633088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407959635074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407959641882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407959646072
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1407959654701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959656769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1407959674038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959677792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1407959677840
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1407959679941
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1407959679990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1407959683247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1407959683743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407959684792
