what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410443585993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443588978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443656300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443660904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443663824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443670021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443723930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443742970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443756203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1410443771933
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1410443780302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410443788562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443790270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443821646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443824319
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1410443886088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443905247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410443907194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410443908711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443911436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443926569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1410443932457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410443934963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444047988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1410444049866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444063140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444100474
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1410444130032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1410444132922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1410444133772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1410444134656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1410444143022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444145843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1410444406454
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1410444411766
