what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195687826
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195690027
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195696379
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195697071
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195697071
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408195702223
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195707044
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195707093
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1408195720371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1408195721634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195729159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195783758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195786217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195832377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195835369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195925419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195929146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195932749
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1408195935056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1408195935072
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1408195935072
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1408195936904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195954795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195969104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408195970161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408196065091
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1408196156596
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1408196157754
